price;year;condition;cylinders;odometer;title_status;transmission;drive;size;lat;long;weather
49890;2018;4;6;3073;clean;automatic;4wd;;49,204598;-123,139205;
6400;2006;2;8;288;clean;automatic;4wd;full-size;49,392323;-123,542081;
12488;2010;2;8;144570;clean;automatic;4wd;full-size;42,892121;-85,665539;45
26320;2014;3;6;64947;clean;automatic;4wd;mid-size;43,75891;-87,75358;45
7500;2001;2;8;165000;clean;automatic;4wd;full-size;39,021205;-95,626545;51
1500;2000;1;8;194000;clean;automatic;4wd;full-size;61,19;-149,8938;29
18500;2013;3;6;75295;clean;automatic;4wd;mid-size;43,78124;-88,50265;45
28990;2015;3;8;37271;clean;automatic;4wd;full-size;43,154684;-75,930204;53
29995;2015;4;6;9214;clean;automatic;4wd;full-size;47,729625;-116,739006;47
5600;2007;2;8;213356;clean;automatic;rwd;;38,6157;-121,5053;59
7450;2006;3;8;256866;clean;automatic;4wd;full-size;27,603157;-80,38561;65
4500;2004;3;8;113438;clean;automatic;rwd;;39,71819;-86,35679;48
31990;2016;3;6;22726;clean;automatic;4wd;full-size;43,154434;-75,934324;53
5000;2001;2;8;249000;clean;automatic;4wd;full-size;40,167126;-122,23768;59
21995;2011;3;6;124507;clean;automatic;4wd;full-size;42,701772;-89,008858;45
18000;2013;3;6;144000;clean;automatic;4wd;full-size;31,9657;-86,2844;61
5800;2006;3;6;112413;clean;automatic;rwd;full-size;28,079232;-80,674959;65
9700;2005;3;8;183000;clean;automatic;;;46,450007;-95,12469;43
1600;1996;2;8;199000;clean;automatic;rwd;full-size;43,5835;-70,3457;44
36998;2015;4;6;19881;clean;automatic;4wd;;50,045346;-125,269028;
1300;1986;2;6;167000;clean;manual;rwd;;37,9038;-77,6308;55
31950;2016;3;6;46027;clean;automatic;4wd;full-size;48,435674;-122,325843;50
28218;2014;3;6;87723;clean;automatic;4wd;mid-size;27,15356;-80,21936;65
3000;2001;3;8;200000;clean;automatic;4wd;full-size;39,9597;-74,5655;52
3950;2006;3;8;187000;clean;automatic;4wd;full-size;42,484503;-92,324974;47
3200;2003;2;8;154000;clean;automatic;4wd;;41,3691;-71,8126;49
21995;2014;2;6;81275;clean;automatic;rwd;full-size;36,08996;-96,05206;57
26999;2014;3;8;73411;clean;automatic;4wd;;34,7253;-76,7531;56
12990;2013;3;8;176752;clean;automatic;;full-size;47,911024;-97,045022;38
12000;2010;2;8;164000;lien;automatic;4wd;;35,5866;-77,3485;56
11997;2003;3;8;137655;clean;automatic;4wd;full-size;42,355897;-122,865844;50
9038;2006;3;8;196531;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
700;1995;0;8;280000;clean;automatic;4wd;full-size;5,377001;-5,377999;
14995;2010;3;8;120715;clean;automatic;4wd;full-size;43,223552;-77,372473;53
33000;2015;4;8;58000;clean;automatic;4wd;full-size;40,4659;-88,3609;48
2000;1986;2;6;24000;clean;automatic;rwd;full-size;43,453187;-84,047871;45
13988;2013;2;6;48459;clean;automatic;rwd;full-size;45,553434;-94,231841;43
9950;2007;3;8;138582;clean;automatic;4wd;mid-size;36,28962;-95,31964;57
2500;1991;2;6;186500;clean;manual;rwd;full-size;34,402;-119,2982;59
42980;2017;4;6;13615;clean;automatic;4wd;;49,204598;-123,139205;
8995;2006;3;8;138975;clean;automatic;4wd;full-size;40,842755;-96,694022;46
7900;2003;2;8;288000;clean;automatic;4wd;full-size;48,687655;-123,603336;
1750;1997;2;8;320000;clean;automatic;4wd;;44,858294;-95,44339;43
2500;1984;2;6;92311;clean;automatic;rwd;full-size;36,7863;-119,8286;59
14995;2007;3;8;141653;clean;automatic;4wd;full-size;38,084394;-89,339761;48
19900;2014;4;8;114295;clean;automatic;4wd;;36,18884;-94,138076;59
3995;2006;4;8;138834;clean;automatic;4wd;full-size;40,019011;-74,94746;52
17495;2012;2;6;123729;clean;automatic;4wd;full-size;38,717906;-108,054869;45
5495;2006;3;8;151344;clean;automatic;4wd;;45,2617;-88,078;45
9300;2008;2;8;176000;clean;automatic;4wd;full-size;37,375676;-79,185799;55
13880;2009;3;8;154597;clean;automatic;4wd;mid-size;44,87313;-87,89568;45
19000;2011;3;6;83000;clean;automatic;4wd;full-size;41,3301;-92,2019;47
19977;2015;3;6;80941;clean;automatic;rwd;full-size;27,848654;-82,690316;65
700;1996;1;6;260;clean;manual;rwd;full-size;42,9958;-82,4599;45
33890;2018;3;8;17621;clean;automatic;rwd;full-size;43,154309;-75,931063;53
5500;2002;2;8;176733;clean;automatic;4wd;full-size;41,875262;-84,018623;45
10900;2006;3;8;115000;clean;automatic;4wd;full-size;40,3958;-111,8506;50
7995;2005;2;8;167358;clean;automatic;;full-size;42,03519;-91,559347;47
14995;2009;3;8;140149;clean;automatic;4wd;full-size;38,159627;-85,697708;50
20880;2015;3;8;124371;clean;automatic;4wd;mid-size;44,57437;-88,16024;45
3800;2001;2;8;124800;clean;automatic;rwd;mid-size;29,4832;-82,8809;65
4700;2004;2;8;203000;clean;automatic;4wd;;45,346;-94,1628;43
34770;2016;3;6;24319;clean;automatic;4wd;mid-size;34,74851;-77,41559;56
3200;2005;2;6;147;rebuilt;automatic;;;32,7115;-97,0069;67
3000;2000;2;6;173000;clean;manual;rwd;;36,9375;-86,4481;50
3000;2000;2;6;148000;clean;automatic;rwd;full-size;44,0105;-92,3973;43
16788;2014;2;6;127865;clean;automatic;4wd;full-size;42,892121;-85,665539;45
6000;2003;3;8;100451;clean;automatic;4wd;;40,0497;-122,0992;59
16950;2013;2;6;162530;clean;automatic;4wd;full-size;34,614367;-97,967015;57
6500;1990;3;8;86000;clean;automatic;4wd;;40,9218;-77,0505;53
15995;2010;2;8;90236;clean;automatic;4wd;full-size;35,661076;-78,703988;56
3500;1998;1;8;73000;clean;automatic;rwd;;39,2672;-84,5993;49
43995;2018;2;8;17675;clean;automatic;4wd;full-size;43,078373;-92,317804;47
16995;2010;3;8;70816;clean;automatic;4wd;full-size;43,223552;-77,372473;53
28488;2015;4;8;79557;clean;automatic;4wd;full-size;43,558671;-92,009977;43
5496;2003;2;8;141021;clean;automatic;4wd;full-size;44,602263;-73,16141;44
6000;2006;2;6;127;clean;automatic;rwd;;28,97366;-81,027426;65
13500;2004;3;8;113200;clean;automatic;4wd;;35,732997;-81,34037;56
2000;1998;1;8;270000;clean;automatic;4wd;;33,028;-80,1739;60
13000;2007;3;8;118000;clean;automatic;4wd;;45,316185;-94,299431;43
5500;2004;2;8;168000;clean;automatic;4wd;full-size;42,6359;-73,7219;53
23900;2013;4;8;44900;clean;automatic;4wd;full-size;34,268;-78,0578;56
25994;2014;3;6;55017;clean;automatic;4wd;mid-size;43,78124;-88,50265;45
22960;2013;2;6;117852;clean;automatic;4wd;full-size;36,137597;-86,761799;59
